id;subscription_name;subscription_start_date;subscription_expiry_date;additional_comments;notification_before_expiry;notification_mute_flag;notification_to;notification_cc;notification_bcc
1;till midst hence;2024-04-27T01:59:50;2024-04-27T14:41:31;multicast;836;false;phooey;sharply;highlight
2;anxiously;2024-04-27T09:50:08;2024-04-26T18:43:20;average oddly;31067;false;far refrain;break commonly behind;turf
3;like if enormously;2024-04-26T21:25:10;2024-04-27T03:16:50;knife;19300;true;permeate live;anaesthetize;cruelly ack into
4;unsteady tightly hay;2024-04-27T09:35:17;2024-04-27T09:27:52;hesitation mmm jealously;12366;false;inside;enemy so mid;excluding stylish
5;booster meh;2024-04-27T07:51:53;2024-04-27T09:45:23;torn;28758;true;thump creep excluding;towards yew whoa;communicant
6;orchid bashfully;2024-04-27T05:32:03;2024-04-26T17:55:52;barring emanate;16135;false;stealthily;towards shoehorn;likewise
7;oxygenate once;2024-04-27T04:57:00;2024-04-26T22:19:18;when fussy delightful;12860;false;until kookily;than huzzah;finally so
8;yum abnormally cleverly;2024-04-27T09:41:01;2024-04-26T15:27:50;readily ouch;18887;false;noisily adsorb;gauntlet unrealistic really;slushy softly alarmed
9;ugh known;2024-04-26T21:19:29;2024-04-27T09:30:33;inveigle energetically quaintly;23463;true;although;while strap;onto spicy phew
10;ouch finally;2024-04-27T11:11:14;2024-04-27T01:50:53;atop during greedily;25205;false;toward indeed char;knee zowie;plus swimming gah
